protein.Entry_protein.Accession,protein.Description,c1,c2,c3,r1,r2,r3,rt1,rt2,rt3,t1,t2,t3,Present_NumFiles 
A0A0A0MSK5_HUMAN_A0A0A0MSK5,Torsin-1A-interacting protein 1 OS=Homo sapiens GN=TOR1AIP1 PE=1 SV=1,0.336,0.2615,NaN,0.2596,NaN,NaN,0.2433,NaN,NaN,NaN,NaN,NaN,4
ZN516_HUMAN_Q92618,Zinc finger protein 516 OS=Homo sapiens GN=ZNF516 PE=1 SV=1,0.0819,NaN,0.3016,NaN,NaN,NaN,0.1116,0.1522,NaN,NaN,NaN,NaN,4
K7EQ02_HUMAN_K7EQ02,DAZ-associated protein 1 (Fragment) OS=Homo sapiens GN=DAZAP1 PE=1 SV=2,0.6554,0.5402,NaN,NaN,NaN,0.4296,0.4686,NaN,NaN,NaN,NaN,NaN,4
H7C2B1_HUMAN_H7C2B1,Nucleolar protein 7 (Fragment) OS=Homo sapiens GN=NOL7 PE=1 SV=1,NaN,NaN,NaN,0.0222,0.0306,0.031,NaN,NaN,NaN,0.0267,NaN,NaN,4
CTRO_HUMAN_O14578,Citron Rho-interacting kinase OS=Homo sapiens GN=CIT PE=1 SV=2,NaN,NaN,3.5186,NaN,0.944,NaN,NaN,NaN,NaN,NaN,1.9255,0.6831,4
TBR1_HUMAN_Q16650,T-box brain protein 1 OS=Homo sapiens GN=TBR1 PE=1 SV=1,0.1358,NaN,NaN,NaN,NaN,0.2453,NaN,NaN,0.2603,0.3991,NaN,NaN,4
CUL2_HUMAN_Q13617,Cullin-2 OS=Homo sapiens GN=CUL2 PE=1 SV=2,NaN,0.4013,NaN,NaN,0.3824,NaN,0.3966,NaN,NaN,NaN,NaN,0.253,4
DLG5_HUMAN_Q8TDM6,Disks large homolog 5 OS=Homo sapiens GN=DLG5 PE=1 SV=4,3.6878,0.186,NaN,NaN,NaN,NaN,0.2272,0.0624,NaN,NaN,NaN,NaN,4
TRPM6_HUMAN_Q9BX84,Transient receptor potential cation channel subfamily M member 6 OS=Homo sapiens GN=TRPM6 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,2.7115,NaN,NaN,0.3389,0.8132,NaN,0.0631,4
RL27_HUMAN_P61353,60S ribosomal protein L27 OS=Homo sapiens GN=RPL27 PE=1 SV=2,0.6731,NaN,0.8435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4537,0.3555,4
B4DUR8_HUMAN_B4DUR8,T-complex protein 1 subunit gamma OS=Homo sapiens GN=CCT3 PE=1 SV=1,NaN,NaN,NaN,NaN,1.7994,1.7785,2.0814,NaN,NaN,NaN,1.6348,NaN,4
MYH15_HUMAN_Q9Y2K3,Myosin-15 OS=Homo sapiens GN=MYH15 PE=1 SV=5,NaN,NaN,NaN,NaN,2.8049,2.7178,NaN,2.8181,NaN,NaN,NaN,2.4822,4
RLA0L_HUMAN_Q8NHW5,60S acidic ribosomal protein P0-like OS=Homo sapiens GN=RPLP0P6 PE=5 SV=1,NaN,NaN,NaN,2.4309,NaN,2.5396,NaN,NaN,NaN,2.4299,2.3446,NaN,4
A0A0D9SEI3_HUMAN_A0A0D9SEI3,Cyclin-dependent kinase 11B OS=Homo sapiens GN=CDK11B PE=1 SV=1,NaN,0.5945,0.3809,NaN,NaN,NaN,0.2187,NaN,NaN,NaN,0.2496,NaN,4
RSF1_HUMAN_Q96T23,Remodeling and spacing factor 1 OS=Homo sapiens GN=RSF1 PE=1 SV=2,NaN,NaN,0.9567,0.158,NaN,NaN,NaN,NaN,NaN,NaN,0.1545,0.0916,4
PDP1_HUMAN_Q9P0J1,[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1_ mitochondrial OS=Homo sapiens GN=PDP1 PE=1 SV=3,NaN,0.0769,0.2161,NaN,0.1258,NaN,NaN,NaN,NaN,NaN,0.0911,NaN,4
G5EA36_HUMAN_G5EA36,Cell division cycle 27_ isoform CRA_c OS=Homo sapiens GN=CDC27 PE=1 SV=1,NaN,NaN,NaN,0.2621,0.3691,NaN,NaN,0.1631,NaN,NaN,0.0982,NaN,4
FAF1_HUMAN_Q9UNN5,FAS-associated factor 1 OS=Homo sapiens GN=FAF1 PE=1 SV=2,NaN,NaN,0.0755,NaN,0.0736,0.0642,NaN,0.0858,NaN,NaN,NaN,NaN,4
E7ES33_HUMAN_E7ES33,Septin-7 OS=Homo sapiens GN=SEPT7 PE=1 SV=3,NaN,NaN,NaN,0.3706,NaN,0.3927,NaN,0.4191,0.3448,NaN,NaN,NaN,4
OCAD1_HUMAN_Q9NX40,OCIA domain-containing protein 1 OS=Homo sapiens GN=OCIAD1 PE=1 SV=1,NaN,NaN,NaN,0.0609,0.0652,NaN,NaN,0.1258,NaN,NaN,0.0539,NaN,4
E5RI99_HUMAN_E5RI99,60S ribosomal protein L30 (Fragment) OS=Homo sapiens GN=RPL30 PE=1 SV=1,0.1728,0.2322,NaN,NaN,0.3153,NaN,NaN,NaN,0.3068,NaN,NaN,NaN,4
H0Y512_HUMAN_H0Y512,Adipocyte plasma membrane-associated protein (Fragment) OS=Homo sapiens GN=APMAP PE=1 SV=1,1.0568,NaN,NaN,NaN,0.8202,NaN,NaN,0.9081,NaN,NaN,NaN,0.8279,4
I3L4G8_HUMAN_I3L4G8,Charged multivesicular body protein 6 (Fragment) OS=Homo sapiens GN=CHMP6 PE=1 SV=1,NaN,NaN,0.084,NaN,NaN,NaN,0.0723,NaN,NaN,0.0827,0.0782,NaN,4
B1AKZ5_HUMAN_B1AKZ5,Astrocytic phosphoprotein PEA-15 OS=Homo sapiens GN=PEA15 PE=1 SV=1,0.3157,NaN,0.2864,NaN,NaN,0.3677,NaN,NaN,NaN,NaN,NaN,0.2075,4
IQCC_HUMAN_Q4KMZ1,IQ domain-containing protein C OS=Homo sapiens GN=IQCC PE=1 SV=2,NaN,NaN,NaN,NaN,0.0633,0.0834,NaN,NaN,0.0557,0.1513,NaN,NaN,4
POTEI_HUMAN_P0CG38,POTE ankyrin domain family member I OS=Homo sapiens GN=POTEI PE=3 SV=1,NaN,0.4642,NaN,NaN,NaN,NaN,NaN,NaN,0.0054,NaN,0.0221,0.045,4
RIMS2_HUMAN_Q9UQ26,Regulating synaptic membrane exocytosis protein 2 OS=Homo sapiens GN=RIMS2 PE=1 SV=2,NaN,0.0148,NaN,NaN,NaN,NaN,0.0317,NaN,NaN,NaN,0.1346,0.1179,4
MFAP1_HUMAN_P55081,Microfibrillar-associated protein 1 OS=Homo sapiens GN=MFAP1 PE=1 SV=2,0.1027,NaN,NaN,0.0281,NaN,NaN,NaN,0.0346,0.0445,NaN,NaN,NaN,4
STX16_HUMAN_O14662,Syntaxin-16 OS=Homo sapiens GN=STX16 PE=1 SV=3,NaN,NaN,NaN,0.0336,0.0516,NaN,0.0533,NaN,NaN,0.0372,NaN,NaN,4
LSM7_HUMAN_Q9UK45,U6 snRNA-associated Sm-like protein LSm7 OS=Homo sapiens GN=LSM7 PE=1 SV=1,0.0684,0.0506,0.0903,NaN,NaN,0.0482,NaN,NaN,NaN,NaN,NaN,NaN,4
TMM33_HUMAN_P57088,Transmembrane protein 33 OS=Homo sapiens GN=TMEM33 PE=1 SV=2,0.1002,NaN,NaN,NaN,NaN,NaN,0.0923,0.0862,NaN,NaN,NaN,0.0522,4
DBLOH_HUMAN_Q9NR28,Diablo homolog_ mitochondrial OS=Homo sapiens GN=DIABLO PE=1 SV=1,NaN,NaN,0.1233,NaN,NaN,0.2098,NaN,0.1983,NaN,0.2242,NaN,NaN,4
CHMP6_HUMAN_Q96FZ7,Charged multivesicular body protein 6 OS=Homo sapiens GN=CHMP6 PE=1 SV=3,0.09,NaN,NaN,0.0798,0.0631,NaN,NaN,NaN,NaN,NaN,NaN,0.0933,4
C9J8U9_HUMAN_C9J8U9,Biorientation of chromosomes in cell division protein 1 (Fragment) OS=Homo sapiens GN=BOD1 PE=1 SV=8,NaN,0.0222,NaN,0.0132,NaN,NaN,NaN,NaN,0.0136,NaN,0.0153,NaN,4
TBC31_HUMAN_Q96DN5,TBC1 domain family member 31 OS=Homo sapiens GN=TBC1D31 PE=1 SV=2,NaN,NaN,1.1076,0.4183,NaN,NaN,0.1147,0.0095,NaN,NaN,NaN,NaN,4
F8W038_HUMAN_F8W038,Chromosome 17 open reading frame 49 OS=Homo sapiens GN=C17orf49 PE=1 SV=1,0.0536,NaN,NaN,NaN,0.0369,NaN,NaN,0.0811,0.036,NaN,NaN,NaN,4
ANM8_HUMAN_Q9NR22,Protein arginine N-methyltransferase 8 OS=Homo sapiens GN=PRMT8 PE=1 SV=2,NaN,0.1671,NaN,NaN,NaN,0.2775,NaN,NaN,NaN,0.4607,NaN,0.4626,4
A8MYT4_HUMAN_A8MYT4,Phosphatidylinositol 3-kinase catalytic subunit type 3 OS=Homo sapiens GN=PIK3C3 PE=1 SV=2,NaN,0.0691,NaN,0.0639,NaN,NaN,0.5248,NaN,NaN,0.0079,NaN,NaN,4
A8MT37_HUMAN_A8MT37,Glycogen synthase kinase-3 alpha OS=Homo sapiens GN=GSK3A PE=1 SV=2,NaN,NaN,NaN,NaN,0.0101,NaN,0.0121,0.0497,NaN,NaN,0.0084,NaN,4
RPGF2_HUMAN_Q9Y4G8,Rap guanine nucleotide exchange factor 2 OS=Homo sapiens GN=RAPGEF2 PE=1 SV=1,0.0201,NaN,NaN,NaN,0.0478,0.7402,NaN,NaN,0.1187,NaN,NaN,NaN,4
CDK12_HUMAN_Q9NYV4,Cyclin-dependent kinase 12 OS=Homo sapiens GN=CDK12 PE=1 SV=2,NaN,NaN,0.5679,NaN,NaN,0.3503,0.1807,NaN,NaN,NaN,0.3341,NaN,4
KS6A1_HUMAN_Q15418,Ribosomal protein S6 kinase alpha-1 OS=Homo sapiens GN=RPS6KA1 PE=1 SV=2,NaN,NaN,NaN,0.0744,NaN,NaN,0.0251,NaN,NaN,NaN,0.2099,0.5679,4
EIF3K_HUMAN_Q9UBQ5,Eukaryotic translation initiation factor 3 subunit K OS=Homo sapiens GN=EIF3K PE=1 SV=1,0.4185,0.4564,NaN,NaN,NaN,0.5543,NaN,NaN,NaN,NaN,0.5287,NaN,4
MATN2_HUMAN_O00339,Matrilin-2 OS=Homo sapiens GN=MATN2 PE=1 SV=4,NaN,0.9993,2.7743,NaN,NaN,NaN,NaN,NaN,NaN,0.0898,NaN,0.372,4
E5RGS4_HUMAN_E5RGS4,Prefoldin subunit 1 OS=Homo sapiens GN=PFDN1 PE=1 SV=1,NaN,0.1207,NaN,0.0559,0.0839,NaN,NaN,NaN,NaN,NaN,0.1053,NaN,4
PK2L1_HUMAN_Q9P0L9,Polycystic kidney disease 2-like 1 protein OS=Homo sapiens GN=PKD2L1 PE=1 SV=1,0.9661,NaN,NaN,NaN,NaN,NaN,NaN,2.9054,3.015,NaN,1.1318,NaN,4
B1AL05_HUMAN_B1AL05,39S ribosomal protein L43_ mitochondrial OS=Homo sapiens GN=MRPL43 PE=1 SV=1,NaN,0.1148,NaN,NaN,NaN,0.0896,NaN,0.1568,0.0431,NaN,NaN,NaN,4
TRI56_HUMAN_Q9BRZ2,E3 ubiquitin-protein ligase TRIM56 OS=Homo sapiens GN=TRIM56 PE=1 SV=3,0.0966,NaN,0.1621,0.0878,NaN,NaN,NaN,NaN,NaN,NaN,0.0612,NaN,4
RRAS_HUMAN_P10301,Ras-related protein R-Ras OS=Homo sapiens GN=RRAS PE=1 SV=1,NaN,0.1923,NaN,NaN,NaN,0.1019,0.1786,NaN,NaN,NaN,0.1133,NaN,4
H0Y6U5_HUMAN_H0Y6U5,Condensin-2 complex subunit G2 (Fragment) OS=Homo sapiens GN=NCAPG2 PE=1 SV=1,NaN,NaN,0.2108,0.231,NaN,NaN,0.3087,NaN,NaN,NaN,NaN,0.2398,4
SKIV2_HUMAN_Q15477,Helicase SKI2W OS=Homo sapiens GN=SKIV2L PE=1 SV=3,NaN,0.1423,1.1364,0.0685,NaN,NaN,NaN,1.7142,NaN,NaN,NaN,NaN,4
J3KRT0_HUMAN_J3KRT0,Core-binding factor subunit beta (Fragment) OS=Homo sapiens GN=CBFB PE=1 SV=1,NaN,0.0715,NaN,NaN,0.0889,NaN,0.1203,NaN,0.0585,NaN,NaN,NaN,4
ADAM9_HUMAN_Q13443,Disintegrin and metalloproteinase domain-containing protein 9 OS=Homo sapiens GN=ADAM9 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,0.1088,0.0758,0.0899,0.0818,NaN,NaN,NaN,4
REV1_HUMAN_Q9UBZ9,DNA repair protein REV1 OS=Homo sapiens GN=REV1 PE=1 SV=1,NaN,0.0916,NaN,NaN,NaN,NaN,NaN,0.1254,NaN,0.0726,0.0278,NaN,4
LSM6_HUMAN_P62312,U6 snRNA-associated Sm-like protein LSm6 OS=Homo sapiens GN=LSM6 PE=1 SV=1,0.0526,NaN,NaN,0.0184,NaN,0.0408,0.0158,NaN,NaN,NaN,NaN,NaN,4
UBCP1_HUMAN_Q8WVY7,Ubiquitin-like domain-containing CTD phosphatase 1 OS=Homo sapiens GN=UBLCP1 PE=1 SV=2,0.15,NaN,0.1313,NaN,0.0512,NaN,NaN,NaN,0.0531,NaN,NaN,NaN,4
MYLK2_HUMAN_Q9H1R3,Myosin light chain kinase 2_ skeletal/cardiac muscle OS=Homo sapiens GN=MYLK2 PE=1 SV=3,NaN,0.2763,NaN,NaN,NaN,0.1352,NaN,NaN,0.0311,NaN,NaN,0.2187,4
TM214_HUMAN_Q6NUQ4,Transmembrane protein 214 OS=Homo sapiens GN=TMEM214 PE=1 SV=2,NaN,NaN,0.2745,NaN,0.1972,NaN,0.2353,NaN,NaN,NaN,0.2101,NaN,4
CCD39_HUMAN_Q9UFE4,Coiled-coil domain-containing protein 39 OS=Homo sapiens GN=CCDC39 PE=2 SV=3,0.042,NaN,0.553,NaN,NaN,NaN,0.1511,NaN,NaN,0.0656,NaN,NaN,4
Q5JVD1_HUMAN_Q5JVD1,Centriolin OS=Homo sapiens GN=CNTRL PE=1 SV=1,0.0504,NaN,0.5345,0.1114,NaN,NaN,NaN,NaN,NaN,NaN,0.4848,NaN,4
A0A0A0MSW0_HUMAN_A0A0A0MSW0,E3 ubiquitin-protein ligase UBR4 (Fragment) OS=Homo sapiens GN=UBR4 PE=1 SV=1,0.3067,NaN,NaN,0.2135,NaN,0.3989,NaN,NaN,NaN,NaN,0.1414,NaN,4
LTN1_HUMAN_O94822,E3 ubiquitin-protein ligase listerin OS=Homo sapiens GN=LTN1 PE=1 SV=6,NaN,2.7471,0.0657,NaN,0.7312,NaN,1.7376,NaN,NaN,NaN,NaN,NaN,4
ASXL1_HUMAN_Q8IXJ9,Putative Polycomb group protein ASXL1 OS=Homo sapiens GN=ASXL1 PE=1 SV=3,0.1322,NaN,NaN,0.1169,NaN,NaN,NaN,0.0872,0.1014,NaN,NaN,NaN,4
ARL8B_HUMAN_Q9NVJ2,ADP-ribosylation factor-like protein 8B OS=Homo sapiens GN=ARL8B PE=1 SV=1,0.207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0537,NaN,0.1332,0.0683,4
NDUF4_HUMAN_Q9P032,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4 OS=Homo sapiens GN=NDUFAF4 PE=1 SV=1,NaN,NaN,NaN,0.0357,0.0652,NaN,NaN,0.0456,NaN,NaN,0.0439,NaN,4
IL6RB_HUMAN_P40189,Interleukin-6 receptor subunit beta OS=Homo sapiens GN=IL6ST PE=1 SV=2,NaN,NaN,0.1167,NaN,0.0691,NaN,NaN,0.1479,3.055,NaN,NaN,NaN,4
PUR1_HUMAN_Q06203,Amidophosphoribosyltransferase OS=Homo sapiens GN=PPAT PE=1 SV=1,NaN,NaN,0.043,NaN,NaN,0.1735,0.0687,NaN,NaN,0.1486,NaN,NaN,4
CTND2_HUMAN_Q9UQB3,Catenin delta-2 OS=Homo sapiens GN=CTNND2 PE=1 SV=3,0.048,NaN,NaN,0.0909,NaN,NaN,0.2754,NaN,0.5244,NaN,NaN,NaN,4
THOC6_HUMAN_Q86W42,THO complex subunit 6 homolog OS=Homo sapiens GN=THOC6 PE=1 SV=1,NaN,NaN,NaN,0.0469,0.0482,NaN,0.1405,NaN,NaN,NaN,NaN,1.0726,4
H0YL43_HUMAN_H0YL43,Reticulocalbin-2 (Fragment) OS=Homo sapiens GN=RCN2 PE=1 SV=1,0.2302,NaN,0.0626,NaN,NaN,NaN,NaN,0.0902,0.0541,NaN,NaN,NaN,4
QOR_HUMAN_Q08257,Quinone oxidoreductase OS=Homo sapiens GN=CRYZ PE=1 SV=1,0.2942,NaN,0.3873,NaN,NaN,NaN,NaN,NaN,0.0475,NaN,NaN,0.0569,4
LARP4_HUMAN_Q71RC2,La-related protein 4 OS=Homo sapiens GN=LARP4 PE=1 SV=3,0.0552,0.097,NaN,NaN,NaN,NaN,0.0634,0.1435,NaN,NaN,NaN,NaN,4
WFS1_HUMAN_O76024,Wolframin OS=Homo sapiens GN=WFS1 PE=1 SV=2,NaN,NaN,1.5162,0.1534,NaN,0.1775,NaN,NaN,NaN,0.3005,NaN,NaN,4
E7ET15_HUMAN_E7ET15,U2 snRNP-associated SURP motif-containing protein OS=Homo sapiens GN=U2SURP PE=1 SV=1,NaN,NaN,0.2825,NaN,NaN,NaN,NaN,NaN,0.305,NaN,0.2919,0.3863,4
LRRC9_HUMAN_Q6ZRR7,Leucine-rich repeat-containing protein 9 OS=Homo sapiens GN=LRRC9 PE=2 SV=2,3.3187,NaN,0.0485,0.0655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.8609,4
E7EUT5_HUMAN_E7EUT5,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=1,NaN,NaN,2.7239,NaN,4.7612,4.585,NaN,NaN,NaN,NaN,3.4721,NaN,4
MICA3_HUMAN_Q7RTP6,[F-actin]-methionine sulfoxide oxidase MICAL3 OS=Homo sapiens GN=MICAL3 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,1.9077,0.4744,NaN,NaN,0.6208,0.7983,4
IL16_HUMAN_Q14005,Pro-interleukin-16 OS=Homo sapiens GN=IL16 PE=1 SV=4,2.9026,NaN,NaN,NaN,NaN,0.1723,NaN,0.0753,NaN,NaN,NaN,2.4211,4
RS27A_HUMAN_P62979,Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens GN=RPS27A PE=1 SV=2,NaN,NaN,NaN,2.3536,NaN,NaN,2.931,NaN,2.7588,NaN,2.681,NaN,4
G3V3G9_HUMAN_G3V3G9,Uncharacterized protein OS=Homo sapiens PE=4 SV=1,0.2416,NaN,NaN,NaN,NaN,0.0737,NaN,NaN,0.0661,NaN,0.109,NaN,4
H0Y4J6_HUMAN_H0Y4J6,Adenylate kinase isoenzyme 1 (Fragment) OS=Homo sapiens GN=AK1 PE=1 SV=1,0.1789,NaN,NaN,0.1303,NaN,NaN,NaN,NaN,0.1924,0.1246,NaN,NaN,4
LGMN_HUMAN_Q99538,Legumain OS=Homo sapiens GN=LGMN PE=1 SV=1,0.0494,NaN,NaN,0.0559,NaN,NaN,0.1942,NaN,NaN,NaN,0.1026,NaN,4
CTGE5_HUMAN_O15320,cTAGE family member 5 OS=Homo sapiens GN=CTAGE5 PE=1 SV=4,0.0684,NaN,NaN,NaN,0.1767,0.1274,NaN,NaN,NaN,0.04,NaN,NaN,4
HSDL2_HUMAN_Q6YN16,Hydroxysteroid dehydrogenase-like protein 2 OS=Homo sapiens GN=HSDL2 PE=1 SV=1,NaN,0.1222,NaN,0.1438,0.3827,NaN,0.1732,NaN,NaN,NaN,NaN,NaN,4
RAE1L_HUMAN_P78406,mRNA export factor OS=Homo sapiens GN=RAE1 PE=1 SV=1,0.0739,NaN,NaN,0.092,NaN,NaN,0.0696,NaN,0.0934,NaN,NaN,NaN,4
C9JRD2_HUMAN_C9JRD2,DnaJ homolog subfamily B member 2 (Fragment) OS=Homo sapiens GN=DNAJB2 PE=1 SV=1,NaN,NaN,0.1125,NaN,NaN,NaN,0.0265,0.0097,NaN,NaN,0.0029,NaN,4
INT7_HUMAN_Q9NVH2,Integrator complex subunit 7 OS=Homo sapiens GN=INTS7 PE=1 SV=1,NaN,0.1055,0.1323,0.1016,NaN,NaN,NaN,NaN,NaN,0.488,NaN,NaN,4
F5GYF8_HUMAN_F5GYF8,Signal-induced proliferation-associated 1-like protein 1 OS=Homo sapiens GN=SIPA1L1 PE=1 SV=1,NaN,NaN,NaN,0.1376,NaN,0.3581,NaN,NaN,0.1658,NaN,NaN,0.359,4
RL3L_HUMAN_Q92901,60S ribosomal protein L3-like OS=Homo sapiens GN=RPL3L PE=2 SV=3,NaN,NaN,NaN,0.029,NaN,NaN,0.4422,NaN,NaN,NaN,0.4428,0.4107,4
K7ERE3_HUMAN_K7ERE3,Keratin_ type I cytoskeletal 13 OS=Homo sapiens GN=KRT13 PE=1 SV=1,NaN,NaN,NaN,NaN,0.0501,NaN,0.0334,NaN,0.0239,NaN,NaN,0.0611,4
E9PK67_HUMAN_E9PK67,Poly [ADP-ribose] polymerase OS=Homo sapiens GN=PARP10 PE=1 SV=1,0.0561,0.3121,NaN,NaN,NaN,0.0811,NaN,NaN,NaN,NaN,NaN,0.1777,4
CTDP1_HUMAN_Q9Y5B0,RNA polymerase II subunit A C-terminal domain phosphatase OS=Homo sapiens GN=CTDP1 PE=1 SV=3,NaN,0.0933,NaN,NaN,NaN,NaN,0.0669,0.0671,NaN,NaN,0.0447,NaN,4
HNRDL_HUMAN_O14979,Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens GN=HNRNPDL PE=1 SV=3,0.481,NaN,NaN,NaN,NaN,NaN,NaN,0.8984,NaN,NaN,0.3476,0.3481,4
X6R700_HUMAN_X6R700,Chromatin target of PRMT1 protein OS=Homo sapiens GN=CHTOP PE=1 SV=1,NaN,NaN,NaN,0.0531,NaN,NaN,0.112,NaN,0.111,NaN,NaN,0.0667,4
GLP3L_HUMAN_Q9H4A5,Golgi phosphoprotein 3-like OS=Homo sapiens GN=GOLPH3L PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,0.1515,NaN,0.2417,NaN,0.2079,0.1904,NaN,4
CIP4_HUMAN_Q15642,Cdc42-interacting protein 4 OS=Homo sapiens GN=TRIP10 PE=1 SV=3,NaN,NaN,NaN,0.2644,0.3145,NaN,0.1282,NaN,NaN,NaN,NaN,0.2539,4
CK068_HUMAN_Q9H3H3,UPF0696 protein C11orf68 OS=Homo sapiens GN=C11orf68 PE=1 SV=2,NaN,0.1333,NaN,NaN,0.1355,NaN,0.1035,0.1541,NaN,NaN,NaN,NaN,4
KMT2E_HUMAN_Q8IZD2,Histone-lysine N-methyltransferase 2E OS=Homo sapiens GN=KMT2E PE=1 SV=1,NaN,NaN,NaN,0.118,NaN,NaN,NaN,4.3643,0.9219,NaN,NaN,1.7423,4
E9PK01_HUMAN_E9PK01,Elongation factor 1-delta (Fragment) OS=Homo sapiens GN=EEF1D PE=1 SV=1,1.4791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3697,1.7122,1.7027,NaN,4
DUS16_HUMAN_Q9BY84,Dual specificity protein phosphatase 16 OS=Homo sapiens GN=DUSP16 PE=1 SV=1,NaN,NaN,NaN,NaN,1.2037,NaN,0.9862,NaN,0.7396,0.9303,NaN,NaN,4
E7EPB3_HUMAN_E7EPB3,60S ribosomal protein L14 OS=Homo sapiens GN=RPL14 PE=1 SV=1,NaN,0.0736,NaN,NaN,NaN,0.1009,0.106,NaN,NaN,NaN,NaN,0.1117,4
TXD12_HUMAN_O95881,Thioredoxin domain-containing protein 12 OS=Homo sapiens GN=TXNDC12 PE=1 SV=1,NaN,NaN,NaN,NaN,0.0331,0.0388,NaN,0.03,NaN,NaN,0.0207,NaN,4
H0YI20_HUMAN_H0YI20,2'-5'-oligoadenylate synthase 1 (Fragment) OS=Homo sapiens GN=OAS1 PE=1 SV=1,0.2468,0.2341,0.3614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0809,4
E9PHI6_HUMAN_E9PHI6,Cytoplasmic dynein 1 light intermediate chain 1 OS=Homo sapiens GN=DYNC1LI1 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,0.3382,NaN,NaN,0.2965,0.2969,0.5768,NaN,4
WAC2A_HUMAN_Q641Q2,WASH complex subunit 2A OS=Homo sapiens GN=WASHC2A PE=1 SV=3,NaN,0.3389,0.3631,NaN,NaN,NaN,0.3435,NaN,NaN,NaN,0.2865,NaN,4
F5GYT8_HUMAN_F5GYT8,Methylcrotonoyl-CoA carboxylase subunit alpha_ mitochondrial OS=Homo sapiens GN=MCCC1 PE=1 SV=2,0.0825,0.0939,0.0834,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0883,4
THOC1_HUMAN_Q96FV9,THO complex subunit 1 OS=Homo sapiens GN=THOC1 PE=1 SV=1,0.005,NaN,NaN,NaN,0.0839,NaN,NaN,NaN,NaN,0.0881,NaN,0.115,4
A0A087WTY9_HUMAN_A0A087WTY9,MORF4 family-associated protein 1 OS=Homo sapiens GN=MRFAP1 PE=1 SV=1,NaN,0.038,NaN,0.0233,NaN,NaN,NaN,0.0354,NaN,0.0319,NaN,NaN,4
E9PQG4_HUMAN_E9PQG4,Myomegalin OS=Homo sapiens GN=PDE4DIP PE=1 SV=2,0.0715,NaN,NaN,NaN,0.1391,NaN,0.0464,NaN,NaN,NaN,NaN,0.1076,4
TAOK3_HUMAN_Q9H2K8,Serine/threonine-protein kinase TAO3 OS=Homo sapiens GN=TAOK3 PE=1 SV=2,NaN,0.0966,NaN,NaN,NaN,NaN,NaN,0.1766,NaN,0.1454,NaN,0.0841,4
YTHD1_HUMAN_Q9BYJ9,YTH domain-containing family protein 1 OS=Homo sapiens GN=YTHDF1 PE=1 SV=1,0.8646,NaN,NaN,NaN,0.0739,NaN,NaN,0.0712,NaN,0.3634,NaN,NaN,4
WWP2_HUMAN_O00308,NEDD4-like E3 ubiquitin-protein ligase WWP2 OS=Homo sapiens GN=WWP2 PE=1 SV=2,NaN,0.1321,NaN,0.055,NaN,0.121,NaN,NaN,NaN,0.0528,NaN,NaN,4
PFKAM_HUMAN_P08237,ATP-dependent 6-phosphofructokinase_ muscle type OS=Homo sapiens GN=PFKM PE=1 SV=2,0.0075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0377,0.0385,0.0208,NaN,4
CHTOP_HUMAN_Q9Y3Y2,Chromatin target of PRMT1 protein OS=Homo sapiens GN=CHTOP PE=1 SV=2,0.2066,NaN,0.163,NaN,0.1108,0.1304,NaN,NaN,NaN,NaN,NaN,NaN,4
OSGEP_HUMAN_Q9NPF4,Probable tRNA N6-adenosine threonylcarbamoyltransferase OS=Homo sapiens GN=OSGEP PE=1 SV=1,NaN,0.0655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1169,0.0397,0.0394,4
IDH3B_HUMAN_O43837,Isocitrate dehydrogenase [NAD] subunit beta_ mitochondrial OS=Homo sapiens GN=IDH3B PE=1 SV=2,NaN,NaN,NaN,0.0655,0.0872,NaN,0.103,0.0878,NaN,NaN,NaN,NaN,4
KI16B_HUMAN_Q96L93,Kinesin-like protein KIF16B OS=Homo sapiens GN=KIF16B PE=1 SV=2,NaN,NaN,0.4499,0.0242,0.3589,NaN,NaN,NaN,NaN,NaN,NaN,0.1051,4
VPS52_HUMAN_Q8N1B4,Vacuolar protein sorting-associated protein 52 homolog OS=Homo sapiens GN=VPS52 PE=1 SV=1,0.1969,NaN,NaN,NaN,0.2146,0.8126,0.2706,NaN,NaN,NaN,NaN,NaN,4
